"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"High Visibility Helmets","Home/Riding Gear/HELMETS CATEGORY","11","Yes","high-visibility-helmets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Petronas","Home/Tools & Maintenence/MAINTENENCE BRANDS","11","Yes","petronas","","","","","","Yes","Products only","","No","","","No layout updates",""
"REV\'IT!","Home/Riding Gear/RIDING GEAR BRANDS","21","Yes","rev-it","","","","","","Yes","Products only","","No","","","No layout updates",""
"Pro Grip","Home/Accessories/BRANDS","10","Yes","pro-grip","","","","","","Yes","Products only","","No","","","No layout updates",""
"Sena","Home/Accessories/BRANDS","7","Yes","sena","","","","","","Yes","Products only","","No","","","No layout updates",""
"Avon","Home/Tires/BRANDS","10","Yes","avon","","","","","","Yes","Products only","","No","","","No layout updates",""
"Apollo","Home/Tires/BRANDS","9","Yes","apollo","","","","","","Yes","Products only","","No","","","No layout updates",""
"Scooter Tires","Home/Tires/CATEGORY","10","Yes","scooter-tires","","","","","","Yes","Products only","","No","","","No layout updates",""
"Motion Pro","Home/Tools & Maintenence/TOOLS BRANDS","2","Yes","motion-pro","","","","","","Yes","Products only","","No","","","No layout updates",""
"Bikemaster","Home/Tools & Maintenence/TOOLS BRANDS","1","Yes","bikemaster","","","","","","Yes","Products only","","No","","","No layout updates",""
"Chain Tools","Home/Tools & Maintenence/TOOLS CATEGORY","3","Yes","chain-tools","","","","","","Yes","Products only","","No","","","No layout updates",""
"Carb / Fuel Tools","Home/Tools & Maintenence/TOOLS CATEGORY","2","Yes","carb-fuel-tools","","","","","","Yes","Products only","","No","","","No layout updates",""
"Tool Kits","Home/Tools & Maintenence/TOOLS CATEGORY","1","Yes","tool-kits","","","","","","Yes","Products only","","No","","","No layout updates",""
"GoPro","Home/Accessories/BRANDS","6","Yes","gopro","","","","","","Yes","Products only","","No","","","No layout updates",""
"Castrol","Home/Accessories/BRANDS","5","Yes","castrol","","","","","","Yes","Products only","","No","","","No layout updates",""
"Mobil","Home/Accessories/BRANDS","4","Yes","mobil","","","","","","Yes","Products only","","No","","","No layout updates",""
"Givi","Home/Accessories/BRANDS","8","Yes","givi","","","","","","Yes","Products only","","No","","","No layout updates",""
"Electrical","Home/Accessories/CATEGORY","3","Yes","electrical","","","","","","Yes","Products only","","No","","","No layout updates",""
"Puig","Home/Accessories/BRANDS","9","Yes","puig","","","","","","Yes","Products only","","No","","","No layout updates",""
"DVD\\\'s","Home/Accessories/CATEGORY","14","Yes","dvd-s","","","","","","Yes","Products only","","No","","","No layout updates",""
"Drink System","Home/Accessories/CATEGORY","13","Yes","drink-system","","","","","","Yes","Products only","","No","","","No layout updates",""
"Tools","Home/Accessories/CATEGORY","12","Yes","tools","","","","","","Yes","Products only","","No","","","No layout updates",""
"Stands","Home/Accessories/CATEGORY","11","Yes","stands","","","","","","Yes","Products only","","No","","","No layout updates",""
"Security","Home/Accessories/CATEGORY","10","Yes","security","","","","","","Yes","Products only","","No","","","No layout updates",""
"Oil / Chemical","Home/Accessories/CATEGORY","9","Yes","oil-chemical","","","","","","Yes","Products only","","No","","","No layout updates",""
"Navigation & Maps","Home/Accessories/CATEGORY","8","Yes","navigation-maps","","","","","","Yes","Products only","","No","","","No layout updates",""
"Luggage","Home/Accessories/CATEGORY","7","Yes","luggage","","","","","","Yes","Products only","","No","","","No layout updates",""
"Heated Gear","Home/Accessories/CATEGORY","6","Yes","heated-gear","","","","","","Yes","Products only","","No","","","No layout updates",""
"GPS / Phone Mounts","Home/Accessories/CATEGORY","5","Yes","gps-phone-mounts","","","","","","Yes","Products only","","No","","","No layout updates",""
